meta_score,title,platform,date,user_score,link,esrb_rating,developers,genres
73,ThruSpace,WII,18-Oct-10,8.7,/game/wii/thruspace,E,['Keys Factory'],"['Miscellaneous', 'Puzzle', 'Action', 'Puzzle', 'Puzzle', 'Action']"
,Snapdots,DS,18-Oct-10,,/game/ds/snapdots,E,['D4 Enterprise'],"['Miscellaneous', 'Puzzle', 'Action', 'Puzzle', 'Puzzle', 'Action']"
86,Kirby's Epic Yarn,WII,17-Oct-10,8.5,/game/wii/kirbys-epic-yarn,E,['Good-Feel'],"['Adventure', 'General', 'Action', 'Platformer', 'Platformer', '2D', '2D']"
68,Pokemon Ranger: Guardian Signs,DS,4-Oct-10,8.1,/game/ds/pokemon-ranger-guardian-signs,E,['Creatures Inc.'],"['Role-Playing', 'General', 'General']"
68,Wii Party,WII,3-Oct-10,8,/game/wii/wii-party,E,['Nd Cube'],"['Miscellaneous', 'Party', 'Party', 'Party / Minigame']"
55,Samurai Warriors 3,WII,28-Sep-10,7.6,/game/wii/samurai-warriors-3,T,['Omega Force'],"['Action', ""Beat-'Em-Up"", ""Beat-'Em-Up"", '3D']"
,Nintendo Countdown Calendar,DS,20-Sep-10,,/game/ds/nintendo-countdown-calendar,,['Intelligent Systems'],"['Miscellaneous', 'General', 'General']"
86,Professor Layton and the Unwound Future,DS,12-Sep-10,8.7,/game/ds/professor-layton-and-the-unwound-future,E10+,['Level 5'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'General']"
79,Metroid: Other M,WII,31-Aug-10,6.7,/game/wii/metroid-other-m,T,['Team Ninja'],"['Action', 'Action Adventure', 'Shooter', 'Sci-Fi', 'Sci-Fi', 'General', 'Third-Person', 'Sci-Fi']"
,Face Pilot: Fly With Your Nintendo DSi Camera!,DS,26-Jul-10,,/game/ds/face-pilot-fly-with-your-nintendo-dsi-camera!,E,['HAL Labs'],"['Simulation', 'General', 'General']"
45,AquaSpace,WII,19-Jul-10,5.7,/game/wii/aquaspace,E,['Paon Corporation'],"['Miscellaneous', 'General', 'General']"
87,Dragon Quest IX: Sentinels of the Starry Skies,DS,11-Jul-10,8.6,/game/ds/dragon-quest-ix-sentinels-of-the-starry-skies,E10+,['Level 5'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Japanese-Style']"
,Mario Tennis,WII,28-Jun-10,,/game/wii/mario-tennis,E,['Camelot Software Planning'],"['Sports', 'Traditional', 'Tennis']"
87,Sin & Punishment: Star Successor,WII,27-Jun-10,8.5,/game/wii/sin-punishment-star-successor,T,['Treasure'],"['Action', 'General', 'Shooter', 'Shooter', 'Rail', 'Rail']"
68,Art Style: Rotozoa,WII,21-Jun-10,,/game/wii/art-style-rotozoa,E,['Skip Ltd.'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'General']"
74,Spin Six,DS,21-Jun-10,,/game/ds/spin-six,E,['Zener Works'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'Puzzle', 'Matching', 'Matching']"
